Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time
win,Johnny Walker,Zhang Mingyang,1,0,50,20,0,0,0,0,Light Heavyweight,KO/TKO Punches,2,2:37
win,Aljamain Sterling,Brian Ortega,0,0,124,55,3,0,0,0,Catch Weight,U-DEC,5,5:00
win,Sergei Pavlovich,Waldo Cortes-Acosta,0,0,61,45,0,0,0,0,Heavyweight,U-DEC,3,5:00
win,Sumudaerji,Kevin Borjas,0,0,73,16,0,0,0,0,Flyweight,U-DEC,3,5:00
win,Taiyilake Nueraji,Kiefer Crosbie,0,0,27,2,1,0,0,0,Welterweight,KO/TKO Elbows,1,3:33
win,Gauge Young,Maheshate,0,0,112,66,3,0,0,0,Lightweight,U-DEC,3,5:00
win,Charles Johnson,Lone'er Kavanagh,1,0,44,59,1,1,0,1,Flyweight,KO/TKO Punch,2,4:35
win,Rongzhu,Austin Hubbard,0,0,101,75,0,2,0,0,Lightweight,U-DEC,3,5:00
win,Kyle Daukaus,Michel Pereira,1,0,5,2,0,0,0,0,Middleweight,KO/TKO Elbows,1,0:43
win,Yizha,Westin Wilson,2,0,13,0,0,0,0,0,Featherweight,KO/TKO Punches,1,0:37
win,SuYoung You,Xiao Long,0,0,58,68,0,0,0,0,Bantamweight,U-DEC,3,5:00
win,Uran Satybaldiev,Diyar Nurgozhay,1,0,2,7,0,1,2,0,Light Heavyweight,SUB Ezekiel Choke,1,2:45
win,Khamzat Chimaev,Dricus Du Plessis,0,0,37,13,12,1,0,1,Middleweight,U-DEC,5,5:00
win,Lerone Murphy,Aaron Pico,1,0,8,13,0,2,1,0,Featherweight,KO/TKO Spinning Back Elbow,1,3:21
win,Carlos Prates,Geoff Neal,1,0,32,25,0,0,0,0,Welterweight,KO/TKO Spinning Back Elbow,1,4:59
win,Michael Page,Jared Cannonier,0,0,29,20,0,2,0,0,Middleweight,U-DEC,3,5:00
win,Tim Elliott,Kai Asakura,0,0,27,21,2,0,2,0,Flyweight,SUB Guillotine Choke,2,4:39
win,Baisangur Susurkaev,Eric Nolan,0,0,36,22,2,0,1,0,Middleweight,SUB Rear Naked Choke,2,2:01
win,Michal Oleksiejczuk,Gerald Meerschaert,1,0,23,3,0,0,0,0,Middleweight,KO/TKO Punches,1,3:03
win,Loopy Godinez,Jessica Andrade,0,0,107,90,1,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Alexander Hernandez,Chase Hooper,1,0,17,20,0,0,0,0,Lightweight,KO/TKO Punch,1,4:58
win,Drakkar Klose,Edson Barboza,0,0,53,71,0,0,0,0,Lightweight,U-DEC,3,5:00
win,Karine Silva,Dione Barbosa,0,0,26,31,1,3,2,1,Women's Flyweight,U-DEC,3,5:00
win,Joseph Morales,Alibi Idiris,0,0,29,28,2,0,2,0,Flyweight,SUB Triangle Choke,2,3:04
win,Anthony Hernandez,Roman Dolidze,0,0,91,36,9,0,1,0,Middleweight,SUB Rear Naked Choke,4,2:45
win,Steve Erceg,Ode Osbourne,0,0,20,35,3,1,1,0,Bantamweight,U-DEC,3,5:00
win,Iasmin Lucindo,Angela Hill,0,0,72,64,3,0,0,1,Women's Strawweight,U-DEC,3,5:00
win,Andre Fili,Christian Rodriguez,0,0,64,83,3,1,0,0,Featherweight,S-DEC,3,5:00
win,Jean Matsumoto,Miles Johns,0,0,95,83,0,5,2,0,Bantamweight,S-DEC,3,5:00
win,Christian Leroy Duncan,Eryk Anders,1,0,24,7,0,1,0,0,Middleweight,KO/TKO Punches,1,3:53
win,Julius Walker,Rafael Cerqueira,1,0,44,19,6,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Elijah Smith,Toshiomi Kazama,0,0,37,0,0,1,0,1,Bantamweight,KO/TKO Slam,1,4:10
win,Joselyne Edwards,Priscila Cachoeira,1,0,26,18,0,0,0,0,Women's Bantamweight,KO/TKO Punch,1,2:24
win,Uros Medic,Gilbert Urbina,1,1,5,5,0,0,0,0,Welterweight,KO/TKO Punch,1,1:03
win,Gabriella Fernandes,Julija Stoliarenko,0,0,59,61,0,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Eric McConico,Cody Brundage,0,0,26,31,0,3,0,0,Light Heavyweight,S-DEC,3,5:00
win,Tatsuro Taira,HyunSung Park,1,0,7,3,4,0,1,0,Flyweight,SUB Neck Crank,2,1:06
win,Chris Duncan,Mateusz Rebecki,0,0,92,114,0,2,0,0,Lightweight,U-DEC,3,5:00
win,Esteban Ribovics,Elves Brener,0,0,122,118,0,0,0,0,Lightweight,U-DEC,3,5:00
win,Karol Rosa,Nora Cornolle,0,0,33,27,2,0,2,0,Women's Bantamweight,U-DEC,3,5:00
win,Neil Magny,Elizeu Zaleski dos Santos,0,0,42,20,2,1,0,0,Welterweight,KO/TKO Punches,2,4:39
win,Kevin Vallejos,Danny Silva,0,0,90,69,2,1,0,0,Featherweight,U-DEC,3,5:00
win,Rinya Nakamura,Nathan Fletcher,1,0,12,3,0,0,0,0,Bantamweight,KO/TKO Kick,1,1:02
win,Rodolfo Vieira,Tresean Gore,0,0,89,41,1,0,0,0,Middleweight,U-DEC,3,5:00
win,Andrey Pulyaev,Nick Klein,1,0,23,10,0,4,0,1,Middleweight,KO/TKO Kick,2,1:31
win,Austin Bashi,John Yannis,0,0,2,0,1,0,1,0,Featherweight,SUB Rear Naked Choke,1,3:39
win,Rafael Estevam,Felipe Bunes,0,0,33,26,5,0,0,2,Flyweight,U-DEC,3,5:00
win,Piera Rodriguez,Ketlen Souza,0,0,64,56,7,0,0,0,Women's Strawweight,S-DEC,3,5:00
win,Reinier de Ridder,Robert Whittaker,0,1,67,66,2,0,0,0,Middleweight,S-DEC,5,5:00
win,Petr Yan,Marcus McGhee,0,0,81,64,1,0,0,0,Bantamweight,U-DEC,3,5:00
win,Shara Magomedov,Marc-Andre Barriault,0,0,93,39,0,2,0,0,Middleweight,U-DEC,3,5:00
win,Asu Almabayev,Jose Ochoa,0,0,22,26,7,1,2,2,Flyweight,U-DEC,3,5:00
win,Bogdan Guskov,Nikita Krylov,1,0,23,16,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,4:18
win,Bryce Mitchell,Said Nurmagomedov,0,1,13,20,3,0,0,1,Bantamweight,U-DEC,3,5:00
win,Muslim Salikhov,Carlos Leal,1,0,3,5,0,0,0,0,Welterweight,KO/TKO Punch,1,0:42
win,Davey Grant,Da'Mon Blackshear,0,0,66,33,0,1,0,1,Bantamweight,U-DEC,3,5:00
win,Tabatha Ricci,Amanda Ribas,0,0,34,30,1,1,0,0,Women's Strawweight,KO/TKO Elbow,2,2:59
win,Billy Elekana,Ibo Aslan,0,0,35,28,0,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Steven Nguyen,Mohammad Yahya,6,0,92,57,0,0,0,0,Featherweight,KO/TKO,2,5:00
win,Martin Buday,Marcus Buchecha,0,0,41,24,0,1,0,0,Heavyweight,U-DEC,3,5:00
win,Max Holloway,Dustin Poirier,1,1,198,109,0,0,0,1,Lightweight,U-DEC,5,5:00
win,Paulo Costa,Roman Kopylov,1,0,99,48,0,0,0,0,Middleweight,U-DEC,3,5:00
win,Daniel Rodriguez,Kevin Holland,2,1,77,82,0,1,0,0,Welterweight,U-DEC,3,5:00
win,Patricio Freire,Dan Ige,0,0,55,47,5,0,0,0,Featherweight,U-DEC,3,5:00
win,Michael Johnson,Daniel Zellhuber,1,0,80,52,0,0,0,0,Lightweight,U-DEC,3,5:00
win,Vinicius Oliveira,Kyler Phillips,1,0,96,49,1,0,0,0,Bantamweight,U-DEC,3,5:00
win,Brendan Allen,Marvin Vettori,0,0,111,109,3,0,0,0,Middleweight,U-DEC,3,5:00
win,Nikolay Veretennikov,Francisco Prado,0,0,56,47,2,3,0,1,Welterweight,S-DEC,3,5:00
win,Ateba Gautier,Robert Valentin,1,0,19,2,0,0,0,0,Middleweight,KO/TKO Punch,1,1:10
win,Islam Dulatov,Adam Fugitt,1,0,21,14,0,0,0,0,Welterweight,KO/TKO Punch,1,4:06
win,Jimmy Crute,Marcin Prachnio,0,0,5,21,3,0,2,0,Light Heavyweight,SUB Armbar,1,4:42
win,Ryan Spann,Lukasz Brzeski,0,0,8,5,1,0,2,0,Heavyweight,SUB Guillotine Choke,1,2:47
win,Brunno Ferreira,Jackson McVey,0,0,7,4,1,0,1,0,Middleweight,SUB Armbar,1,3:35
win,Carli Judice,Nicolle Caliari,1,0,109,32,0,1,0,0,Women's Flyweight,KO/TKO Knee,3,1:30
win,Derrick Lewis,Tallison Teixeira,1,0,9,3,0,0,0,0,Heavyweight,KO/TKO Punches,1,0:35
win,Gabriel Bonfim,Stephen Thompson,0,0,40,42,5,0,0,0,Welterweight,S-DEC,3,5:00
win,Steve Garcia,Calvin Kattar,1,0,85,26,0,0,0,0,Featherweight,U-DEC,3,5:00
win,Morgan Charriere,Nate Landwehr,1,0,67,63,2,0,0,0,Featherweight,KO/TKO Punch,3,0:27
win,Vitor Petrino,Austen Lane,0,0,3,3,1,0,2,0,Heavyweight,SUB Rear Naked Choke,1,4:16
win,Tuco Tokkos,Junior Tafa,0,0,11,24,5,0,1,0,Light Heavyweight,SUB Arm Triangle,2,4:25
win,Chris Curtis,Max Griffin,0,0,64,59,0,0,0,0,Welterweight,S-DEC,3,5:00
win,Jake Matthews,Chidi Njokuani,0,0,3,5,1,0,1,0,Welterweight,SUB Rear Naked Choke,1,1:09
win,Eduarda Moura,Lauren Murphy,0,0,64,38,2,2,0,2,Women's Flyweight,U-DEC,3,5:00
win,Valter Walker,Kennedy Nzechukwu,0,0,4,0,1,0,1,0,Heavyweight,SUB Heel Hook,1,0:54
win,Mike Davis,Mitch Ramirez,1,0,47,51,1,0,2,0,Lightweight,KO/TKO Punches,2,4:08
win,Fatima Kline,Melissa Martinez,1,0,92,44,0,0,0,0,Women's Strawweight,KO/TKO Kick,3,2:36
win,Ilia Topuria,Charles Oliveira,1,0,21,9,0,0,0,0,Lightweight,KO/TKO Punch,1,2:27
win,Alexandre Pantoja,Kai Kara-France,0,0,42,38,3,0,2,0,Flyweight,SUB Rear Naked Choke,3,1:55
win,Joshua Van,Brandon Royval,1,0,204,215,0,0,0,0,Flyweight,U-DEC,3,5:00
win,Beneil Dariush,Renato Moicano,0,1,56,31,5,0,0,0,Lightweight,U-DEC,3,5:00
win,Payton Talbott,Felipe Lima,0,0,59,26,0,3,0,0,Bantamweight,U-DEC,3,5:00
win,Gregory Rodrigues,Jack Hermansson,1,0,18,30,0,0,0,0,Middleweight,KO/TKO Punch,1,4:21
win,Jose Delgado,Hyder Amil,1,0,9,3,0,0,0,0,Featherweight,KO/TKO Knee,1,0:26
win,Tracy Cortez,Viviane Araujo,0,0,65,22,3,0,1,0,Women's Flyweight,U-DEC,3,5:00
win,Terrance McKinney,Viacheslav Borshchev,0,0,1,2,1,0,2,0,Lightweight,SUB Guillotine Choke,1,0:55
win,Jacobe Smith,Niko Price,0,0,46,34,2,0,1,0,Welterweight,SUB Rear Naked Choke,2,4:03
win,Jhonata Diniz,Alvin Hines,0,0,112,82,0,1,0,0,Heavyweight,U-DEC,3,5:00
win,Khalil Rountree Jr.,Jamahal Hill,1,0,102,69,0,0,0,0,Light Heavyweight,U-DEC,5,5:00
win,Rafael Fiziev,Ignacio Bahamondes,0,0,62,50,4,0,0,0,Lightweight,U-DEC,3,5:00
win,Curtis Blaydes,Rizvan Kuniev,0,0,56,45,2,0,0,0,Heavyweight,S-DEC,3,5:00
win,Myktybek Orolbai,Tofiq Musayev,0,0,2,2,3,0,1,0,Catch Weight,SUB Kimura,1,4:35
win,Nazim Sadykhov,Nikolas Motta,1,1,93,66,0,0,0,0,Lightweight,KO/TKO Punches,2,4:17
win,Muhammad Naimov,Bogdan Grad,0,0,18,31,1,3,1,0,Featherweight,U-DEC,3,5:00
win,Seokhyeon Ko,Oban Elliott,0,0,33,10,6,0,1,0,Welterweight,U-DEC,3,5:00
win,JunYong Park,Ismail Naurdiev,0,0,45,76,2,1,1,0,Middleweight,U-DEC,3,5:00
win,Daria Zhelezniakova,Melissa Mullins,0,0,99,64,0,3,0,0,Women's Bantamweight,U-DEC,3,5:00
win,Klaudia Sygula,Irina Alekseeva,0,0,101,63,1,0,0,0,Women's Bantamweight,U-DEC,3,5:00
win,Tagir Ulanbekov,Azat Maksum,0,0,68,62,0,3,1,0,Flyweight,U-DEC,3,5:00
win,Mohammed Usman,Hamdy Abdelwahab,0,0,86,55,0,0,0,0,Heavyweight,U-DEC,3,5:00
win,Kamaru Usman,Joaquin Buckley,0,0,41,44,4,0,0,0,Welterweight,U-DEC,5,5:00
win,Rose Namajunas,Miranda Maverick,1,0,25,25,2,0,0,1,Women's Flyweight,U-DEC,3,5:00
win,Edmen Shahbazyan,Andre Petroski,1,0,53,34,0,2,0,0,Middleweight,U-DEC,3,5:00
win,Raoni Barcelos,Cody Garbrandt,0,0,37,28,1,0,0,0,Bantamweight,U-DEC,3,5:00
drawdraw,Mansur Abdul-Malik,Cody Brundage,0,0,25,30,0,0,0,0,Middleweight,Overturned,3,0:36
win,Alonzo Menifield,Oumar Sy,0,0,29,34,0,1,0,0,Light Heavyweight,U-DEC,3,5:00
ncnc,Paul Craig,Rodolfo Bellato,0,0,17,10,0,1,0,0,Light Heavyweight,CNC,1,4:59
win,Michael Chiesa,Court McGee,0,0,72,39,0,0,0,0,Welterweight,U-DEC,3,5:00
win,Malcolm Wellmaker,Kris Moutinho,1,0,25,6,0,0,0,0,Bantamweight,KO/TKO Punch,1,2:37
win,Jose Ochoa,Cody Durden,1,0,30,9,0,2,0,0,Flyweight,KO/TKO Punch,2,0:11
win,Ricky Simon,Cameron Smotherman,0,0,34,29,3,0,0,0,Bantamweight,U-DEC,3,5:00
win,Phil Rowe,Ange Loosa,1,1,85,65,0,3,0,0,Welterweight,KO/TKO Punches,3,4:03
win,Jamey-Lyn Horth,Vanessa Demopoulos,0,0,101,36,2,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Merab Dvalishvili,Sean O'Malley,0,0,52,31,5,0,1,0,Bantamweight,SUB Guillotine Choke,3,4:42
win,Kayla Harrison,Julianna Pena,0,0,30,9,2,0,1,0,Women's Bantamweight,SUB Kimura,2,4:55
win,Joe Pyfer,Kelvin Gastelum,2,0,57,33,1,0,0,0,Middleweight,U-DEC,3,5:00
win,Mario Bautista,Patchy Mix,0,0,173,122,0,0,0,0,Bantamweight,U-DEC,3,5:00
win,Kevin Holland,Vicente Luque,0,0,40,24,1,0,1,0,Welterweight,SUB Anaconda Choke,2,1:03
win,Joshua Van,Bruno Silva,3,0,125,76,0,1,0,0,Flyweight,KO/TKO Punches,3,4:01
win,Azamat Murzakanov,Brendson Ribeiro,1,0,27,8,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,3:25
win,Waldo Cortes-Acosta,Serghei Spivac,0,0,110,48,0,2,0,0,Heavyweight,U-DEC,3,5:00
win,Andreas Gustafsson,Khaos Williams,0,0,98,39,8,0,0,0,Welterweight,U-DEC,3,5:00
win,Wang Cong,Ariane da Silva,1,0,143,63,0,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,JooSang Yoo,Jeka Saragih,1,0,6,2,0,0,0,0,Featherweight,KO/TKO Punch,1,0:28
win,Quillan Salkilld,Yanal Ashmouz,0,0,79,41,8,0,0,0,Lightweight,U-DEC,3,5:00
win,MarQuel Mederos,Mark Choinski,1,0,110,58,0,2,0,0,Lightweight,U-DEC,3,5:00
win,Mateusz Gamrot,Ludovit Klein,0,0,65,24,6,0,0,0,Lightweight,U-DEC,3,5:00
win,Ramiz Brahimaj,Billy Ray Goff,0,0,1,1,2,0,1,0,Welterweight,SUB Guillotine Choke,1,3:16
win,Dustin Jacoby,Bruno Lopes,1,0,17,3,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,1:50
win,Ketlen Vieira,Macy Chiasson,0,0,28,22,0,0,0,0,Women's Featherweight,U-DEC,3,5:00
win,Zachary Reese,Dusko Todorovic,0,0,50,35,2,4,0,1,Middleweight,U-DEC,3,5:00
win,Allan Nascimento,Jafel Filho,0,0,12,14,1,4,1,1,Flyweight,U-DEC,3,5:00
win,Jordan Leavitt,Kurt Holobaugh,0,0,1,0,3,0,1,0,Lightweight,SUB Anaconda Choke,1,1:39
win,Bolaji Oki,Michael Aswell,0,0,136,118,0,0,0,0,Lightweight,U-DEC,3,5:00
win,Alice Ardelean,Rayanne dos Santos,0,0,154,78,1,1,0,0,Women's Strawweight,U-DEC,3,5:00
win,Michael Morales,Gilbert Burns,2,0,33,5,0,1,0,0,Welterweight,KO/TKO Punches,1,3:39
win,Mairon Santos,Sodiq Yusuff,0,0,40,36,0,1,0,0,Lightweight,U-DEC,3,5:00
win,Nursulton Ruziboev,Dustin Stoltzfus,0,0,35,21,1,2,0,2,Middleweight,U-DEC,3,5:00
win,Melquizael Costa,Julian Erosa,0,0,102,69,2,3,1,0,Featherweight,U-DEC,3,5:00
win,Gabe Green,Matheus Camilo,0,0,12,13,0,2,1,1,Lightweight,SUB Rear Naked Choke,2,3:43
win,Jared Gordon,Thiago Moises,1,0,7,5,1,0,0,0,Lightweight,KO/TKO Punch,1,3:37
win,Yadier del Valle,Connor Matthews,0,0,9,3,1,0,1,0,Featherweight,SUB Rear Naked Choke,1,2:54
win,Luana Santos,Tainara Lisboa,0,0,15,6,2,0,1,0,Women's Bantamweight,SUB Keylock,2,4:59
win,Denise Gomes,Elise Reed,1,0,28,11,3,0,0,0,Women's Strawweight,KO/TKO Punches,2,0:30
win,HyunSung Park,Carlos Hernandez,0,0,14,4,1,0,1,0,Flyweight,SUB Rear Naked Choke,1,2:26
win,Tecia Pennington,Luana Pinheiro,0,0,63,40,0,5,0,0,Women's Strawweight,U-DEC,3,5:00
win,Jack Della Maddalena,Belal Muhammad,0,0,178,132,0,3,0,0,Welterweight,U-DEC,5,5:00
win,Valentina Shevchenko,Manon Fiorot,1,0,72,71,2,1,0,0,Women's Flyweight,U-DEC,5,5:00
win,Aiemann Zahabi,Jose Aldo,0,1,99,68,0,0,0,0,Featherweight,U-DEC,3,5:00
win,Natalia Silva,Alexa Grasso,0,0,65,45,0,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Benoit Saint Denis,Kyle Prepolec,0,0,54,12,3,0,2,0,Lightweight,SUB Arm Triangle,2,2:35
win,Mike Malott,Charles Radtke,1,0,36,10,0,0,0,0,Welterweight,KO/TKO Punch,2,0:26
win,Jasmine Jasudavicius,Jessica Andrade,0,0,11,4,1,0,1,0,Women's Flyweight,SUB Rear Naked Choke,1,2:40
win,Modestas Bukauskas,Ion Cutelaba,0,0,44,58,0,0,0,0,Light Heavyweight,S-DEC,3,5:00
win,Navajo Stirling,Ivan Erslan,1,0,110,36,3,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Marc-Andre Barriault,Bruno Silva,1,0,14,6,0,0,0,0,Middleweight,KO/TKO Elbows,1,1:27
win,Daniel Santos,JeongYeong Lee,0,0,90,68,6,0,0,0,Featherweight,U-DEC,3,5:00
win,Bekzat Almakhan,Brad Katona,1,0,8,1,0,0,0,0,Bantamweight,KO/TKO Punch,1,1:04
win,Cory Sandhagen,Deiveson Figueiredo,0,0,54,6,2,2,0,0,Bantamweight,KO/TKO,2,4:08
win,Reinier de Ridder,Bo Nickal,1,0,22,8,0,1,0,0,Middleweight,KO/TKO Knee,2,1:53
win,Daniel Rodriguez,Santiago Ponzinibbio,1,0,66,49,0,1,0,0,Welterweight,KO/TKO Punch,3,1:12
win,Montel Jackson,Daniel Marcos,0,0,30,17,2,3,1,0,Bantamweight,U-DEC,3,5:00
win,Serhiy Sidey,Cameron Smotherman,0,0,55,58,5,0,1,0,Bantamweight,U-DEC,3,5:00
win,Mason Jones,Jeremy Stephens,0,0,81,42,8,0,0,0,Lightweight,U-DEC,3,5:00
win,Yana Santos,Miesha Tate,0,0,66,40,0,1,0,0,Women's Bantamweight,U-DEC,3,5:00
win,Azamat Bekoev,Ryan Loder,2,0,23,13,0,0,0,0,Middleweight,KO/TKO Punch,1,2:44
win,Gillian Robertson,Marina Rodriguez,0,0,16,4,2,0,0,1,Women's Strawweight,KO/TKO Punches,2,2:07
win,Quang Le,Gaston Bolanos,0,0,10,5,4,0,1,0,Bantamweight,SUB Rear Naked Choke,2,1:54
win,Thomas Petersen,Don'Tale Mayes,0,0,28,3,9,0,1,0,Heavyweight,U-DEC,3,5:00
win,Juliana Miller,Ivana Petrovic,0,0,22,25,3,1,0,0,Women's Flyweight,U-DEC,3,5:00
win,Ian Machado Garry,Carlos Prates,0,0,126,63,4,0,0,0,Welterweight,U-DEC,5,5:00
win,Zhang Mingyang,Anthony Smith,0,0,63,10,0,0,0,0,Light Heavyweight,KO/TKO Elbows,1,4:03
win,David Onama,Giga Chikadze,0,0,49,43,3,0,0,0,Featherweight,U-DEC,3,5:00
win,Abus Magomedov,Michel Pereira,0,0,78,73,1,0,0,0,Middleweight,U-DEC,3,5:00
win,Randy Brown,Nicolas Dalby,1,1,54,26,0,0,0,0,Welterweight,KO/TKO Punch,2,1:39
win,Ikram Aliskerov,Andre Muniz,1,0,44,16,0,0,0,0,Middleweight,KO/TKO Punches,1,4:54
win,Matt Schnell,Jimmy Flick,0,0,35,12,0,5,3,1,Flyweight,U-DEC,3,5:00
win,Evan Elder,Gauge Young,0,0,115,81,0,0,0,0,Lightweight,U-DEC,3,5:00
win,Chris Gutierrez,John Castaneda,1,0,46,41,0,1,0,0,Featherweight,S-DEC,3,5:00
win,Da'Mon Blackshear,Alatengheili,0,0,125,61,0,0,0,0,Bantamweight,U-DEC,3,5:00
win,Malcolm Wellmaker,Cameron Saaiman,1,0,6,9,0,0,0,0,Bantamweight,KO/TKO Punch,1,1:59
win,Jaqueline Amorim,Polyana Viana,0,0,6,0,2,0,1,0,Women's Strawweight,SUB Rear Naked Choke,2,1:49
win,Timmy Cuamba,Roberto Romero,1,0,33,35,1,0,0,0,Featherweight,KO/TKO Flying Knee,2,3:55
win,Joselyne Edwards,Chelsea Chandler,0,0,30,10,1,0,0,0,Women's Bantamweight,KO/TKO Punches,1,2:31
win,Alexander Volkanovski,Diego Lopes,0,1,158,63,1,0,0,0,Featherweight,U-DEC,5,5:00
win,Paddy Pimblett,Michael Chandler,0,0,80,11,1,4,0,0,Lightweight,KO/TKO Elbows,3,3:07
win,Yair Rodriguez,Patricio Freire,1,0,70,17,1,1,0,1,Featherweight,U-DEC,3,5:00
win,Jean Silva,Bryce Mitchell,1,0,27,36,0,1,3,0,Featherweight,SUB Guillotine Choke,2,3:52
win,Dominick Reyes,Nikita Krylov,1,0,8,4,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,2:24
win,Dan Ige,Sean Woodson,0,0,44,51,0,0,0,0,Featherweight,KO/TKO Punches,3,1:12
win,Virna Jandiroba,Yan Xiaonan,0,0,11,17,3,0,3,0,Women's Strawweight,U-DEC,3,5:00
win,Chase Hooper,Jim Miller,0,0,21,13,8,1,1,2,Lightweight,U-DEC,3,5:00
win,Julian Erosa,Darren Elkins,0,0,54,13,0,1,0,0,Featherweight,KO/TKO Punches,1,4:15
win,Michal Oleksiejczuk,Sedriques Dumas,1,0,34,3,0,0,0,0,Middleweight,KO/TKO Punches,1,2:49
win,Sumudaerji,Mitch Raposo,0,0,45,9,0,6,0,0,Flyweight,S-DEC,3,5:00
win,Marco Tulio,Tresean Gore,2,0,127,17,0,0,0,0,Middleweight,KO/TKO Punch,2,3:16
win,Nora Cornolle,Hailey Cowan,0,0,8,3,0,1,1,0,Women's Bantamweight,SUB Rear Naked Choke,2,1:52
win,Lerone Murphy,Josh Emmett,0,0,84,41,0,4,0,0,Featherweight,U-DEC,5,5:00
win,Pat Sabatini,Joanderson Brito,0,0,24,3,4,0,1,1,Featherweight,U-DEC,3,5:00
win,ChangHo Lee,Cortavious Romious,0,0,44,11,2,2,1,0,Bantamweight,KO/TKO Elbows,2,3:48
win,Brad Tavares,Gerald Meerschaert,0,0,47,38,0,0,0,0,Middleweight,U-DEC,3,5:00
win,Ode Osbourne,Luis Gurule,1,0,18,12,0,1,0,0,Flyweight,KO/TKO Punch,2,1:54
win,Torrez Finney,Robert Valentin,0,0,4,23,8,0,0,0,Middleweight,S-DEC,3,5:00
win,Dione Barbosa,Diana Belbita,0,0,27,20,1,0,1,0,Women's Flyweight,SUB Arm Triangle,1,4:13
win,Rhys McKee,Daniel Frunza,3,0,43,43,0,0,0,0,Welterweight,KO/TKO,1,5:00
win,Loma Lookboonmee,Istela Nunes,0,0,32,36,3,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Victor Henry,Pedro Falcao,1,0,73,57,2,4,0,0,Bantamweight,U-DEC,3,5:00
win,Martin Buday,Uran Satybaldiev,0,0,58,36,0,0,0,0,Heavyweight,U-DEC,3,5:00
win,Talita Alencar,Vanessa Demopoulos,0,0,45,10,4,0,1,0,Women's Strawweight,U-DEC,3,5:00
win,Brandon Moreno,Steve Erceg,0,0,89,116,1,0,0,0,Flyweight,U-DEC,5,5:00
win,Manuel Torres,Drew Dober,1,0,23,3,0,0,0,0,Lightweight,KO/TKO Punches,1,1:45
win,Edgar Chairez,CJ Vergara,0,0,8,6,0,0,1,0,Flyweight,SUB Rear Naked Choke,1,2:30
win,Raul Rosas Jr.,Vince Morales,0,0,20,17,4,1,0,2,Bantamweight,U-DEC,3,5:00
win,David Martinez,Saimon Oliveira,1,0,27,7,0,0,0,0,Bantamweight,KO/TKO Knee,1,4:38
win,Kevin Borjas,Ronaldo Rodriguez,1,0,83,64,0,1,0,0,Flyweight,U-DEC,3,5:00
win,Ateba Gautier,Jose Medina,1,0,28,17,0,0,0,0,Middleweight,KO/TKO Knee,1,3:32
win,Melquizael Costa,Christian Rodriguez,0,0,65,64,1,6,1,1,Featherweight,U-DEC,3,5:00
win,Loopy Godinez,Julia Polastri,0,0,84,87,5,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Rafa Garcia,Vinc Pichel,0,0,64,79,2,0,0,0,Lightweight,U-DEC,3,5:00
win,Jamall Emmers,Gabriel Miranda,2,0,33,18,0,2,0,1,Featherweight,KO/TKO Punch,1,4:06
win,MarQuel Mederos,Austin Hubbard,0,0,44,26,0,2,0,1,Lightweight,S-DEC,3,5:00
win,Sean Brady,Leon Edwards,0,0,57,23,5,0,1,0,Welterweight,SUB Guillotine Choke,4,1:39
win,Carlos Ulberg,Jan Blachowicz,0,0,75,59,0,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Kevin Holland,Gunnar Nelson,1,0,55,15,0,3,0,1,Welterweight,U-DEC,3,5:00
win,Alexia Thainara,Molly McCann,0,0,11,9,1,0,2,0,Women's Strawweight,SUB Rear Naked Choke,1,4:32
win,Chris Duncan,Jordan Vucenic,1,0,15,16,4,1,1,0,Lightweight,SUB Guillotine Choke,2,3:42
win,Nathaniel Wood,Morgan Charriere,1,0,72,42,0,1,1,0,Featherweight,U-DEC,3,5:00
win,Chris Padilla,Jai Herbert,0,0,39,38,0,0,0,0,Lightweight,S-DEC,3,5:00
win,Lone'er Kavanagh,Felipe dos Santos,0,0,58,51,4,0,0,1,Flyweight,U-DEC,3,5:00
win,Marcin Tybura,Mick Parkin,0,0,61,60,1,1,0,0,Heavyweight,U-DEC,3,5:00
win,Christian Leroy Duncan,Andrey Pulyaev,0,0,73,18,0,0,0,0,Middleweight,U-DEC,3,5:00
win,Shauna Bannon,Puja Tomar,0,1,52,36,0,0,2,0,Women's Strawweight,SUB Armbar,2,3:22
win,Caolan Loughran,Nathan Fletcher,0,0,30,59,6,1,0,0,Bantamweight,S-DEC,3,5:00
